uf,regiao,cultura,safra_inicio,safra_fim,ano_referencia,area_plantada_ha,producao_ton,produtividade_kg_ha,data_levantamento,fonte
RR,Norte,Soja,2025,2026,2026,150000.0,513000.0,3420.0,2026-07,CONAB
RO,Norte,Soja,2025,2026,2026,719700.0,2803200.0,3895.0,2026-07,CONAB
AC,Norte,Soja,2025,2026,2026,22000.0,85700.0,3896.0,2026-07,CONAB
AM,Norte,Soja,2025,2026,2026,16400.0,52500.0,3204.0,2026-07,CONAB
AP,Norte,Soja,2025,2026,2026,12000.0,31800.0,2650.0,2026-07,CONAB
PA,Norte,Soja,2025,2026,2026,1425400.0,5395100.0,3785.0,2026-07,CONAB
TO,Norte,Soja,2025,2026,2026,1678700.0,6113800.0,3642.0,2026-07,CONAB
MA,Nordeste,Soja,2025,2026,2026,1552400.0,5514100.0,3552.0,2026-07,CONAB
PI,Nordeste,Soja,2025,2026,2026,1108900.0,4397900.0,3966.0,2026-07,CONAB
CE,Nordeste,Soja,2025,2026,2026,4200.0,15600.0,3718.0,2026-07,CONAB
RN,Nordeste,Soja,2025,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PB,Nordeste,Soja,2025,2026,2026,0.0,0.0,0.0,2026-07,CONAB
PE,Nordeste,Soja,2025,2026,2026,800.0,2400.0,3000.0,2026-07,CONAB
AL,Nordeste,Soja,2025,2026,2026,7500.0,25700.0,3420.0,2026-07,CONAB
SE,Nordeste,Soja,2025,2026,2026,0.0,0.0,0.0,2026-07,CONAB
BA,Nordeste,Soja,2025,2026,2026,2218900.0,9452500.0,4260.0,2026-07,CONAB
MT,Centro-Oeste,Soja,2025,2026,2026,13006200.0,51621600.0,3969.0,2026-07,CONAB
MS,Centro-Oeste,Soja,2025,2026,2026,4372500.0,15754100.0,3603.0,2026-07,CONAB
GO,Centro-Oeste,Soja,2025,2026,2026,5152900.0,20147800.0,3910.0,2026-07,CONAB
DF,Centro-Oeste,Soja,2025,2026,2026,89700.0,362400.0,4040.0,2026-07,CONAB
MG,Sudeste,Soja,2025,2026,2026,2342400.0,9158800.0,3910.0,2026-07,CONAB
ES,Sudeste,Soja,2025,2026,2026,0.0,0.0,0.0,2026-07,CONAB
